16,16,16,16,16,16,,,,,,,,,
3,4,5,6,7,8,,,,,,,,,
16|3,16|4,16|5,16|6,16|7,16|8,32FL,,,,,,,,
31.3899999856949,62.9899993538857,76.7999997735023,78.1700003147125,78.1999999284744,78.2600000500679,78.2299995422363,,,,,,,,
31.0000002384186,61.7999970912933,76.800000667572,76.5999972820282,76.9999980926514,76.800000667572,78.2700005173683,,,,,,,,
,,,,,,,,,,,,,,
8,8,8,,,,,,,,,,,,
3,4,5,3,4,5,6,7,8,,,,,,
8|3,8|4,8|5,32FL,32FL,32FL,32FL,32FL,32FL,,,,,,
31.4400000870228,62.6299998164177,60.0799995660782,78.2299995422363,78.2299995422363,78.2299995422363,78.2299995422363,78.2299995422363,78.2299995422363,,,,,,
31.0000002384186,61.1999988555908,60.1999998092651,78.2700005173683,78.2700005173683,78.2700005173683,78.2700005173683,78.2700005173683,78.2700005173683,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
