16,16,16,16,16,16,
3,4,5,6,7,8,
16|3,16|4,16|5,16|6,16|7,16|8,32FL
76.0300001502037,80.4899999499321,80.4800006747246,80.7799997925758,80.6300005316734,80.6999999284744,80.6600004434586
75.4300001263618,78.4800001978874,78.1900003552437,78.7100002169609,78.4200003743172,78.5600000619888,78.58000010252
,,,,,,
8,8,8,8,8,8,
3,4,5,6,7,8,
8|3,8|4,8|5,8|6,8|7,8|8,32FL
75.9499999880791,79.8800000548363,77.2200003266335,65.2699998021126,31.5200001001358,22.130000218749,80.6600004434586
75.3900000452995,78.0499997735023,75.2899998426437,64.370000064373,31.4899998903275,21.9000001251698,78.58000010252
